DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME,HELPER
25/06/2019,72.4,VCB,72.8,72.8,72,390840,71
26/06/2019,70.5,VCB,72.4,72.5,70.5,918850,70
27/06/2019,69.5,VCB,71,71,69.4,1187150,69
28/06/2019,70.5,VCB,69.6,72,68.4,830140,68
1/7/19,71.3,VCB,71,71.9,70.9,565640,67
2/7/19,70.5,VCB,71.5,71.5,70.3,363020,66
3/7/19,69.6,VCB,70.5,71,69.6,796720,65
4/7/19,72.5,VCB,70,72.5,69.7,1125010,64
5/7/19,72.6,VCB,72.5,72.6,72,425620,63
8/7/19,71.3,VCB,72,72.3,71,723300,62
9/7/19,71.9,VCB,71.5,71.9,70.6,668550,61
10/7/19,72.5,VCB,72.5,72.7,71.9,639160,60
11/7/19,74,VCB,72.6,74.6,72.6,1286980,59
12/7/19,73.7,VCB,74,74.5,73.6,926210,58
15/07/2019,75,VCB,73.7,75,73.7,1089930,57
16/07/2019,77.2,VCB,75.5,78,75.4,1901200,56
17/07/2019,76.2,VCB,76.5,77.1,75.8,802350,55
18/07/2019,76.4,VCB,75.9,77.2,75.6,858680,54
19/07/2019,79,VCB,76.4,79.8,76.4,1316760,53
22/07/2019,79,VCB,79,79.5,78.7,930520,52
23/07/2019,78.9,VCB,78.9,79.3,78.5,626060,51
24/07/2019,76.9,VCB,79.5,79.5,76.5,1380620,50
25/07/2019,77.7,VCB,76.9,77.8,76.7,457360,49
26/07/2019,78.5,VCB,77.7,79.7,77.5,942260,48
29/07/2019,81,VCB,78.5,81,78.3,986830,47
30/07/2019,80.6,VCB,82,82.5,80.6,1133490,46
31/07/2019,80.2,VCB,80,80.5,79.6,512820,45
1/8/19,80.5,VCB,80.2,80.5,79.7,538850,44
2/8/19,79.1,VCB,79.7,80.5,79.1,680000,43
5/8/19,77.4,VCB,79.2,79.7,77.1,857570,42
6/8/19,76.3,VCB,76.4,76.9,75.8,1172520,41
7/8/19,78.4,VCB,76.3,78.4,76.3,567830,40
8/8/19,78.5,VCB,78.5,79.8,78.1,612530,39
9/8/19,78.5,VCB,78.7,79.4,78.4,638630,38
12/8/19,77.7,VCB,78.5,78.8,77.2,475000,37
13/08/2019,76.3,VCB,77.2,77.5,75.9,809300,36
14/08/2019,76.3,VCB,78,78,76.3,354750,35
15/08/2019,79,VCB,74.6,79,74.6,510330,34
16/08/2019,77.9,VCB,77.8,78.6,77.8,551180,33
19/08/2019,76.8,VCB,77.9,78.5,76.7,692740,32
20/08/2019,76.9,VCB,77.8,77.8,76.7,453760,31
21/08/2019,80,VCB,76.9,80.3,76.7,1927720,30
22/08/2019,80,VCB,80.2,80.4,79.6,762090,29
23/08/2019,79.2,VCB,80,80.2,79.2,451500,28
26/08/2019,77.8,VCB,78.2,78.6,77.5,672220,27
27/08/2019,76.5,VCB,78.2,78.8,76,1116480,26
28/08/2019,77,VCB,76.8,77.3,76.8,588810,25
29/08/2019,76.8,VCB,76.9,77.4,76.5,422240,24
30/08/2019,77.7,VCB,77,77.7,77,280130,23
3/9/19,77.8,VCB,77.8,77.9,76.7,580830,22
4/9/19,77.3,VCB,77.5,77.5,76.9,527770,21
5/9/19,77.6,VCB,77.2,78.8,77.2,408900,20
6/9/19,77.3,VCB,78,78,77,287990,19
9/9/19,77.2,VCB,77.3,77.4,77,236440,18
10/9/19,77.7,VCB,77.2,79.2,77.1,651950,17
11/9/19,78.2,VCB,77.3,78.5,77.3,141450,16
12/9/19,79.5,VCB,78.5,79.5,78.5,800240,15
13/09/2019,81.9,VCB,79.8,82,79.8,1408780,14
16/09/2019,81,VCB,81.9,82.7,80.8,697310,13
17/09/2019,81.1,VCB,80.7,81.3,80.5,896290,12
18/09/2019,80.6,VCB,81.1,82.5,80.5,809820,11
19/09/2019,81.5,VCB,81,81.7,80.5,527230,10
20/09/2019,81,VCB,81.5,82.8,81,2794080,9
23/09/2019,79,VCB,81.6,81.9,79,1187100,8
24/09/2019,80.6,VCB,79.5,80.8,78.9,791470,7
25/09/2019,80.7,VCB,80,80.9,79.4,729340,6
26/09/2019,81,VCB,80.7,81.3,80.3,1040190,5
27/09/2019,82.9,VCB,81.3,83.1,80.8,1388490,4
30/09/2019,82.1,VCB,82.9,83.3,81.9,775770,3
1/10/19,83.4,VCB,82.1,83.6,81.8,795100,2
2/10/19,82,VCB,83.4,83.7,81.7,1224650,1
